iter	Passed	Remaining
0	88	88135
1	131	65391
2	169	56282
3	220	54887
4	274	54610
5	329	54568
6	375	53263
7	413	51269
8	450	49618
9	489	48436
10	529	47580
11	567	46703
12	604	45913
13	642	45240
14	679	44642
15	718	44167
16	756	43760
17	795	43408
18	832	43008
19	870	42658
20	908	42342
21	946	42087
22	985	41870
23	1024	41675
24	1062	41429
25	1100	41214
26	1138	41011
27	1176	40832
28	1213	40640
29	1251	40464
30	1289	40301
31	1327	40145
32	1364	39994
33	1403	39880
34	1442	39761
35	1481	39683
36	1520	39581
37	1558	39463
38	1598	39384
39	1638	39321
40	1676	39216
41	1714	39106
42	1752	39003
43	1791	38920
44	1829	38817
45	1867	38738
46	1906	38657
47	1943	38549
48	1982	38476
49	2021	38409
50	2058	38313
51	2097	38237
52	2134	38141
53	2173	38077
54	2211	37994
55	2250	37934
56	2288	37862
57	2326	37788
58	2364	37711
59	2402	37633
60	2440	37562
61	2478	37494
62	2518	37457
63	2556	37389
64	2593	37312
65	2632	37256
66	2670	37182
67	2707	37111
68	2746	37059
69	2785	37007
70	2824	36951
71	2862	36888
72	2899	36822
73	2937	36757
74	2977	36717
75	3017	36688
76	3056	36639
77	3094	36576
78	3132	36522
79	3171	36472
80	3209	36410
81	3246	36350
82	3285	36297
83	3323	36244
84	3362	36193
85	3402	36165
86	3441	36114
87	3479	36064
88	3520	36031
89	3559	35987
90	3599	35953
91	3640	35930
92	3680	35892
93	3719	35845
94	3758	35804
95	3797	35761
96	3836	35713
97	3876	35678
98	3915	35635
99	3953	35581
100	3994	35552
101	4033	35514
102	4073	35476
103	4112	35432
104	4151	35389
105	4191	35353
106	4230	35310
107	4269	35265
108	4309	35225
109	4347	35174
110	4387	35135
111	4425	35090
112	4465	35052
113	4505	35015
114	4543	34967
115	4583	34931
116	4633	34972
117	4677	34958
118	4715	34912
119	4753	34861
120	4793	34820
121	4835	34796
122	4875	34760
123	4916	34732
124	4957	34705
125	5000	34682
126	5044	34678
127	5086	34649
128	5126	34610
129	5165	34566
130	5204	34523
131	5245	34490
132	5286	34459
133	5325	34414
134	5362	34362
135	5401	34313
136	5442	34285
137	5498	34342
138	5554	34408
139	5603	34423
140	5649	34416
141	5688	34369
142	5726	34320
143	5769	34297
144	5809	34253
145	5849	34216
146	5890	34181
147	5929	34136
148	5970	34098
149	6009	34053
150	6048	34007
151	6092	33992
152	6141	33999
153	6188	33997
154	6236	33999
155	6280	33981
156	6323	33953
157	6363	33910
158	6402	33862
159	6440	33811
160	6483	33789
161	6523	33742
162	6565	33715
163	6605	33672
164	6646	33636
165	6686	33592
166	6726	33551
167	6765	33507
168	6805	33466
169	6844	33417
170	6884	33377
171	6924	33336
172	6966	33301
173	7005	33255
174	7043	33205
175	7083	33162
176	7122	33118
177	7164	33086
178	7203	33041
179	7242	32995
180	7282	32950
181	7320	32903
182	7360	32861
183	7398	32811
184	7437	32763
185	7477	32722
186	7516	32680
187	7556	32637
188	7595	32594
189	7634	32548
190	7674	32505
191	7713	32461
192	7753	32419
193	7791	32372
194	7831	32329
195	7871	32289
196	7910	32244
197	7950	32202
198	7990	32160
199	8029	32118
200	8069	32076
201	8109	32038
202	8156	32023
203	8199	31994
204	8238	31947
205	8277	31902
206	8315	31854
207	8352	31802
208	8389	31750
209	8427	31703
210	8467	31662
211	8506	31617
212	8544	31571
213	8582	31520
214	8619	31470
215	8657	31421
216	8694	31370
217	8731	31321
218	8770	31276
219	8809	31232
220	8847	31185
221	8885	31137
222	8922	31089
223	8962	31048
224	9000	31001
225	9039	30958
226	9078	30914
227	9116	30867
228	9154	30822
229	9193	30778
230	9231	30732
231	9269	30684
232	9306	30634
233	9344	30589
234	9382	30542
235	9420	30497
236	9460	30455
237	9497	30407
238	9534	30359
239	9572	30313
240	9610	30267
241	9650	30227
242	9687	30180
243	9726	30135
244	9767	30099
245	9804	30051
246	9842	30005
247	9880	29960
248	9919	29917
249	9958	29875
250	9996	29829
251	10034	29784
252	10072	29738
253	10110	29693
254	10151	29656
255	10189	29613
256	10229	29572
257	10266	29526
258	10304	29481
259	10343	29439
260	10382	29396
261	10421	29353
262	10459	29311
263	10498	29269
264	10536	29223
265	10574	29180
266	10613	29136
267	10651	29092
268	10689	29047
269	10726	29002
270	10764	28958
271	10804	28916
272	10842	28873
273	10880	28830
274	10918	28786
275	10957	28743
276	10995	28698
277	11034	28657
278	11073	28615
279	11110	28569
280	11148	28525
281	11185	28480
282	11223	28436
283	11262	28394
284	11301	28352
285	11340	28312
286	11380	28273
287	11420	28234
288	11461	28196
289	11499	28154
290	11540	28117
291	11580	28077
292	11618	28035
293	11656	27992
294	11696	27952
295	11736	27913
296	11775	27871
297	11813	27829
298	11852	27787
299	11891	27746
300	11932	27711
301	11972	27672
302	12012	27631
303	12050	27588
304	12090	27550
305	12129	27509
306	12168	27468
307	12208	27428
308	12248	27389
309	12287	27349
310	12327	27310
311	12365	27267
312	12404	27226
313	12445	27188
314	12484	27149
315	12523	27108
316	12563	27068
317	12602	27027
318	12642	26990
319	12682	26950
320	12720	26907
321	12759	26867
322	12799	26827
323	12839	26788
324	12879	26748
325	12919	26710
326	12959	26671
327	12997	26629
328	13036	26588
329	13075	26547
330	13114	26506
331	13153	26465
332	13192	26425
333	13231	26383
334	13270	26342
335	13309	26301
336	13348	26261
337	13387	26219
338	13429	26185
339	13469	26147
340	13509	26108
341	13548	26066
342	13587	26026
343	13626	25985
344	13665	25944
345	13705	25905
346	13745	25866
347	13784	25826
348	13824	25786
349	13863	25746
350	13903	25707
351	13944	25670
352	13984	25631
353	14024	25592
354	14062	25550
355	14101	25509
356	14140	25468
357	14179	25428
358	14218	25387
359	14258	25348
360	14297	25308
361	14337	25268
362	14376	25227
363	14418	25192
364	14457	25151
365	14495	25110
366	14535	25070
367	14574	25030
368	14614	24990
369	14655	24953
370	14711	24941
371	14766	24928
372	14816	24905
373	14860	24873
374	14899	24833
375	14941	24796
376	14980	24754
377	15017	24711
378	15054	24666
379	15092	24625
380	15131	24583
381	15169	24541
382	15206	24497
383	15243	24453
384	15281	24410
385	15320	24369
386	15357	24326
387	15395	24283
388	15435	24244
389	15478	24210
390	15522	24176
391	15563	24138
392	15604	24101
393	15648	24068
394	15690	24032
395	15729	23990
396	15766	23948
397	15804	23905
398	15843	23864
399	15880	23821
400	15920	23781
401	15959	23740
402	15997	23698
403	16036	23657
404	16074	23615
405	16112	23573
406	16151	23532
407	16188	23489
408	16226	23447
409	16264	23405
410	16301	23362
411	16340	23320
412	16378	23278
413	16417	23238
414	16456	23197
415	16494	23156
416	16533	23114
417	16570	23071
418	16608	23030
419	16646	22988
420	16684	22946
421	16722	22904
422	16759	22861
423	16797	22819
424	16834	22776
425	16872	22733
426	16911	22694
427	16950	22653
428	16989	22612
429	17026	22569
430	17064	22528
431	17102	22486
432	17140	22445
433	17179	22404
434	17217	22362
435	17254	22319
436	17292	22278
437	17330	22236
438	17367	22194
439	17407	22154
440	17447	22115
441	17486	22075
442	17526	22036
443	17564	21995
444	17604	21956
445	17644	21916
446	17685	21878
447	17724	21839
448	17763	21798
449	17803	21759
450	17843	21720
451	17882	21680
452	17924	21643
453	17964	21604
454	18003	21564
455	18043	21525
456	18083	21486
457	18122	21446
458	18161	21405
459	18200	21366
460	18240	21326
461	18278	21285
462	18318	21246
463	18357	21206
464	18396	21165
465	18436	21126
466	18475	21086
467	18515	21047
468	18554	21007
469	18593	20967
470	18633	20928
471	18672	20888
472	18711	20848
473	18750	20807
474	18789	20767
475	18829	20728
476	18867	20687
477	18906	20646
478	18946	20607
479	18985	20568
480	19025	20528
481	19064	20487
482	19103	20448
483	19142	20408
484	19181	20367
485	19221	20328
486	19260	20288
487	19299	20248
488	19339	20209
489	19378	20169
490	19420	20132
491	19459	20092
492	19499	20052
493	19542	20017
494	19586	19981
495	19624	19941
496	19664	19902
497	19703	19861
498	19743	19822
499	19783	19783
500	19822	19742
501	19861	19703
502	19902	19665
